City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
218,Esperance,AU,-33.8667,121.9,58.55,75,49,14.5,scattered clouds
219,Muros,ES,42.7762,-9.0603,60.84,88,100,15.19,overcast clouds
220,Kieta,PG,-6.2167,155.6333,77.72,88,95,2.59,light rain
221,Aban,RU,56.67,96.06,-12.93,97,49,3.69,scattered clouds
222,Lieksa,FI,63.3167,30.0167,22.98,95,100,7.61,light snow
223,Puerto Escondido,MX,15.85,-97.0667,85.03,61,0,9.22,clear sky
224,Ponta do Sol,PT,32.6667,-17.1,72.72,90,97,9.31,overcast clouds
225,Nicoya,CR,10.1483,-85.452,84.65,56,39,5.95,scattered clouds
226,Yerbogachën,RU,61.2767,108.0108,-30.6,100,100,3.94,overcast clouds
227,Mitsamiouli,KM,-11.3847,43.2844,80.65,79,94,13.67,overcast clouds
228,Hulyaypole,UA,47.6653,36.2578,34.93,85,100,16.31,overcast clouds
229,Māngrol,IN,21.1167,70.1167,78.12,66,62,8.84,broken clouds
230,Palembang,ID,-2.9167,104.7458,78.89,94,20,2.3,mist
231,The Pas,CA,53.8251,-101.2541,17.62,93,100,6.91,light snow
232,Sambava,MG,-14.2667,50.1667,74.05,85,5,9.66,light rain
233,Tuatapere,NZ,-46.1333,167.6833,60.46,74,35,6.17,scattered clouds
234,Mehamn,NO,71.0357,27.8492,26.51,85,100,11.5,overcast clouds
235,Alihe,CN,50.5667,123.7167,-11.94,87,100,4.0,overcast clouds
236,Villa Carlos Paz,AR,-31.4241,-64.4978,93.4,16,0,11.99,clear sky
237,Río Gallegos,AR,-51.6226,-69.2181,60.85,17,20,33.38,few clouds
238,Świdwin,PL,53.7746,15.7767,25.14,100,16,7.74,few clouds
239,Umluj,SA,25.0213,37.2685,74.77,49,2,4.16,clear sky
240,Flores,GT,16.9226,-89.8994,84.31,58,98,3.67,overcast clouds
241,Vardø,NO,70.3705,31.1107,30.18,93,75,23.02,snow
242,Kontagora,NG,10.3999,5.4695,77.95,20,100,4.72,overcast clouds
243,Sokolovskoye,RU,45.2583,40.6797,44.1,81,100,7.94,light rain
244,Provideniya,RU,64.3833,-173.3,5.11,72,6,0.0,clear sky
245,Vineland,US,39.4862,-75.0257,42.75,40,0,5.75,clear sky
246,Vanderhoof,CA,54.0166,-124.0198,15.12,84,100,1.32,overcast clouds
247,Mumford,GH,5.2618,-0.759,79.88,84,52,8.84,broken clouds
248,Saiha,IN,22.4833,92.9667,55.62,56,4,3.51,clear sky
249,Manokwari,ID,-0.8667,134.0833,78.21,81,100,6.49,overcast clouds
250,Husavik,IS,66.0449,-17.3389,12.51,81,66,11.16,broken clouds
251,Saldanha,ZA,-33.0117,17.9442,66.25,93,6,6.35,clear sky
252,Broken Hill,AU,-31.95,141.4333,50.04,57,0,16.78,clear sky
253,Salalah,OM,17.0151,54.0924,69.89,43,0,1.14,clear sky
254,Sorong,ID,-0.8833,131.25,78.94,81,80,1.05,broken clouds
255,Novyy Urgal,RU,51.0736,132.5642,0.07,97,100,2.71,overcast clouds
256,Laas,IT,46.6166,10.7002,29.28,83,37,1.48,scattered clouds
257,Bengkulu,ID,-3.8004,102.2655,73.38,91,100,6.24,overcast clouds
258,Summerland,CA,49.5998,-119.6691,33.39,62,100,8.05,overcast clouds
259,Tautira,PF,-17.7333,-149.15,78.91,81,100,16.55,moderate rain
260,Presidencia Roque Sáenz Peña,AR,-26.7852,-60.4388,101.59,7,0,9.82,clear sky
261,Harrison,US,30.4091,-89.0436,77.05,81,75,14.97,broken clouds
262,Verkhoyansk,RU,67.5447,133.385,-42.52,98,100,2.04,overcast clouds
263,Matamoros,MX,25.5333,-103.25,78.12,17,75,6.91,broken clouds
264,Shangrao,CN,28.4532,117.9686,46.42,66,100,3.13,overcast clouds
265,Marawi,PH,7.9986,124.2928,68.54,96,100,1.43,moderate rain
266,Tsiroanomandidy,MG,-18.7667,46.0333,69.28,85,100,6.33,moderate rain
267,Weligama,LK,5.9667,80.4167,73.99,91,69,4.03,broken clouds
268,Menongue,AO,-14.6585,17.691,65.52,93,100,2.95,light rain
269,Caravelas,BR,-17.7125,-39.2481,79.3,80,75,12.84,broken clouds
